Date,EUWAX Gold II
1978-11,10000
1978-12,10000
1979-01,10485.354545863223
1979-02,11330.061914822438
1979-03,10822.698918678327
1979-04,11181.144220649852
1979-05,12655.830314436029
1979-06,12641.30483676145
1979-07,13021.765580489895
1979-08,13884.010396038655
1979-09,17315.928285732916
1979-10,16724.15700335673
1979-11,18125.753795494482
1979-12,22340.74325386851
1980-01,27568.713580254476
1980-02,27145.20551505464
1980-03,22193.133006653294
1980-04,23528.511246793627
1980-05,23272.26478118438
1980-06,27987.286923426134
1980-07,25983.145023528996
1980-08,27235.35515702091
1980-09,28701.982852224202
1980-10,27761.31125729345
1980-11,28314.791711310303
1980-12,27784.679588526375
1981-01,23946.75333145678
1981-02,24696.172769881432
1981-03,25965.49843162179
1981-04,25048.94099164773
1981-05,26388.40126682679
1981-06,24356.408270214124
1981-07,23922.117391181586
1981-08,25723.063956048394
1981-09,24773.95220383097
1981-10,23944.090957947497
1981-11,22995.59133331453
1981-12,22498.37669630131
1982-01,22101.713933139436
1982-02,21400.099242568373
1982-03,19232.340158140018
1982-04,22048.542947164096
1982-05,19175.332232953013
1982-06,19806.773186266462
1982-07,21852.11300189982
1982-08,26386.605267274495
1982-09,25697.465445368183
1982-10,27723.456321003792
1982-11,29039.257217466973
1982-12,28612.691352437178
1983-01,31679.433550957467
1983-02,26385.79990714294
1983-03,26926.486309912678
1983-04,28271.43480851461
1983-05,28996.556901355565
1983-06,28418.418110593164
1983-07,29221.367644264054
1983-08,29616.871727096393
1983-09,28975.93747337754
1983-10,26882.24774673504
1983-11,29264.528740601116
1983-12,28266.936546789653
1984-01,28315.826835150012
1984-02,28954.654016214565
1984-03,27517.61117488056
1984-04,27090.351532813682
1984-05,28729.170805905756
1984-06,27888.36036761702
1984-07,26560.989561915896
1984-08,27324.85891638208
1984-09,28248.35055273932
1984-10,27906.51705572071
1984-11,26812.082403368433
1984-12,26120.625509806083
1985-01,26617.306424594703
1985-02,25910.458050900615
1985-03,29717.58122142763
1985-04,27001.055102008413
1985-05,26570.311098441154
1985-06,26421.711481965773
1985-07,25906.881495878442
1985-08,25459.547138288028
1985-09,25292.409438325343
1985-10,23693.374261566725
1985-11,23251.921244542944
1985-12,22824.636657297786
1986-01,23962.68621895355
1986-02,22211.35901466402
1986-03,21975.065397673483
1986-04,22205.566156247958
1986-05,21660.58244312305
1986-06,21975.66992880594
1986-07,21995.89686088635
1986-08,22962.3616444055
1986-09,25066.436618882402
1986-10,23491.23678584884
1986-11,23054.67670235366
1986-12,22811.849661754164
1987-01,21972.86855363746
1987-02,21876.441399272655
1987-03,22658.99777959963
1987-04,24080.00880249768
1987-05,23673.606823534752
1987-06,23903.51662046848
1987-07,25076.419944572124
1987-08,24777.008132197367
1987-09,24458.964611818283
1987-10,24776.54464341214
1987-11,24459.433097532594
1987-12,23430.1529055837
1988-01,22291.87354624758
1988-02,21343.38999581083
1988-03,22577.96762241502
1988-04,22054.62445907282
1988-05,22596.091715560713
1988-06,22462.376491737694
1988-07,23609.467260561552
1988-08,23640.287395941225
1988-09,21766.34642428315
1988-10,22069.439652358757
1988-11,21720.74820818288
1988-12,21103.982861267235
1989-01,21077.36682161675
1989-02,20960.486080743918
1989-03,20893.94070155127
1989-04,20700.704023503244
1989-05,20689.67673414205
1989-06,21715.26962914365
1989-07,20507.18556580162
1989-08,20344.315772706414
1989-09,21041.373661415808
1989-10,20735.912916502828
1989-11,22228.482882156124
1989-12,20940.817162226685
1990-01,21039.90637371306
1990-02,20394.19537887914
1990-03,18756.62164649219
1990-04,18479.218534744406
1990-05,17945.62948570064
1990-06,17527.307453833553
1990-07,17968.547171358437
1990-08,17891.009839839593
1990-09,18875.25251372799
1990-10,17025.670166359145
1990-11,16924.312751204674
1990-12,17398.15190534279
1991-01,16326.2676787109
1991-02,15910.053066770086
1991-03,16980.720978249083
1991-04,17991.559217838716
1991-05,18367.343223405784
1991-06,19472.72876965968
1991-07,19206.96438577703
1991-08,17984.553868636813
1991-09,17865.922185883075
1991-10,17970.540106264747
1991-11,17726.6970904611
1991-12,16559.33544626779
1992-01,16709.04484392502
1992-02,17029.74749766782
1992-03,16920.488088295642
1992-04,16505.35665804677
1992-05,16245.230458246428
1992-06,16056.196795039763
1992-07,15935.890177540781
1992-08,14759.201138169436
1992-09,15499.872306340927
1992-10,15693.59011649384
1992-11,16472.805003392634
1992-12,16398.1174304524
1993-01,16595.33730050206
1993-02,16862.124790719892
1993-03,17472.728761287246
1993-04,17702.648119623173
1993-05,18905.842257200824
1993-06,19509.11922873655
1993-07,21588.608135724902
1993-08,20118.327547638575
1993-09,18483.961167951293
1993-10,19442.675721198793
1993-11,20035.069175897657
1993-12,21092.565767963875
1994-01,20680.821111153444
1994-02,20800.25264659474
1994-03,20778.63547032893
1994-04,20156.20786896865
1994-05,20307.173680174263
1994-06,20010.924421006574
1994-07,19181.894675757965
1994-08,19291.44989390112
1994-09,19534.93861777924
1994-10,18627.783192182917
1994-11,18867.838430851967
1994-12,19223.567365669274
1995-01,18456.52714738844
1995-02,18327.539687253364
1995-03,18345.454866712917
1995-04,17891.18013875589
1995-05,17913.56451567045
1995-06,17891.22122417084
1995-07,17514.280601098464
1995-08,17997.49472150238
1995-09,18307.057423472346
1995-10,17958.905783051185
1995-11,18239.94205476106
1995-12,18476.249466632842
1996-01,19612.142439814943
1996-02,19486.515371956804
1996-03,19265.07505678307
1996-04,19181.782169337417
1996-05,19377.2569685852
1996-06,18806.06393785645
1996-07,18680.299702198605
1996-08,18566.196748302063
1996-09,18366.09344389645
1996-10,18447.53158968033
1996-11,17817.2771932269
1996-12,18125.788892647866
1997-01,17407.098302078888
1997-02,18854.259827772938
1997-03,18517.30116300079
1997-04,18190.22801821469
1997-05,18425.089978114105
1997-06,18036.36409540982
1997-07,18083.813106807775
1997-08,18542.630858497232
1997-09,18430.92332451944
1997-10,16968.42597516041
1997-11,15840.027527478991
1997-12,15850.854035227854
1998-01,17092.93806286771
1998-02,16638.47693046353
1998-03,16901.94954455718
1998-04,17328.47796843245
1998-05,16125.37085834961
1998-06,16391.844766421764
1998-07,16017.502033224044
1998-08,15098.933802743439
1998-09,15471.228616754865
1998-10,14821.105152829512
1998-11,15375.180404150711
1998-12,14901.25490429285
1999-01,15278.446227899381
1999-02,15877.235681917078
1999-03,15854.008045501607
1999-04,16482.130942051506
1999-05,15655.269278425856
1999-06,15400.83919990673
1999-07,14566.015845457918
1999-08,14686.60111872866
1999-09,17085.607955889078
1999-10,17437.955737820062
1999-11,17585.016271371183
1999-12,17607.55943016103
2000-01,17633.545074354854
2000-02,18422.646312866513
2000-03,17655.009685138004
2000-04,18450.444182523894
2000-05,17834.66580863147
2000-06,18376.49120971112
2000-07,18247.139188804864
2000-08,18954.711847834453
2000-09,19026.707439585178
